,company_name,company_rating,other_data
6188,Neon Classes,1.0,Jaipur
6189,Sri Guru Nanak Dev Senior Secondary School Jaipur,2.0,Jaipur
6190,Aditya Birla Schools,2.7,Jaipur
6191,NW E-Commerce,1.5,Jaipur +1 more
6192,Ovale Health Care,5.0,Jaipur
6193,Wisdom Finservative,5.0,Jaipur
6194,Urban Crush Media,5.0,Jaipur
6195,Settlement Partners,5.0,Jaipur
6196,Raman Lab,5.0,Jaipur
6197,Adinath Hospital,5.0,Jaipur
6198,Madan Lal Rameshwar Lal,5.0,Jaipur
6199,Veer Teja Automobiles,5.0,Jaipur
6200,Value Properties,4.2,Jaipur
6201,The Jewel Creation,5.0,Jaipur
6202,Vasvi By Pyramid,3.0,Jaipur
6203,Bombay Duck,4.3,Jaipur
6204,Tyrant Group,5.0,Jaipur
6205,Rajasthan United FC,2.0,Jaipur
6206,CCSPL-I&R JV,3.1,Jaipur +1 more
6207,Future First Technologies,3.6,Jaipur
6208,Arun Signature Store,5.0,Jaipur
6209,Sigma Homes,1.0,Jaipur
6210,Ayush Industries,5.0,Jaipur
6211,Rajasthan Tax Board,5.0,Jaipur
6212,Maruti yatra,1.0,Jaipur
6213,Moris Media,4.6,"Marketing & Advertising , 51-200 Employees , 7 years old , Jaipur +12 more"
6214,AKASH INTERIROS,5.0,Jaipur
6215,OPTIMUM RESRARCH SOLUTIONS,5.0,Jaipur
6216,Visarch Studio,5.0,Jaipur
6217,Fine Acers,4.2,Jaipur +1 more
6218,NAVP & Associates,5.0,Jaipur
6219,Saarang International Food & Beverages,2.4,Jaipur +1 more
6220,True Response Softtech,5.0,Jaipur
6221,Dynos,3.8,Jaipur +1 more
6222,Edge Trading Fx,5.0,Jaipur
6223,Idee Informatics,5.0,Jaipur +1 more
6224,RCV Group,4.0,Jaipur
6225,Star Hire Services,5.0,Jaipur
6226,Rathi Service Station,5.0,Jaipur
6227,Organic Xpress,5.0,Jaipur
6228,Plum Multitrade,2.0,Jaipur
6229,Rishabh Bikes,3.0,Jaipur
6230,DBA Assort,4.0,Jaipur
6231,Jannattrips,5.0,Jaipur
6232,Bhavyabharat Infrastructure & Construction,5.0,Jaipur
6233,Vibrancys,5.0,Jaipur
6234,Gohashinclude,5.0,Jaipur
6235,TQ Technology,5.0,Jaipur
6236,Pandit Deen Dayal Upadhyaya Hospital,5.0,Jaipur
6237,Genius Event,3.0,Jaipur
6238,Rajvilas Sansthan,4.0,Jaipur
6239,Saint Soldier PG College for Girls,1.0,Jaipur
6240,ThoughtsWin Systems,5.0,Jaipur
6241,SkyLine Web Technology,5.0,"11-50 Employees , Jaipur"
6242,Park Priviera Hospitality,4.9,Ahmedabad +2 more
